Station ID,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,city,activity_status
EVS00277,AC Level 2,0.4,6:00-22:00,13.94,82,Greenlots,50,"Type 2, CCS",2011,Yes,3.8,5,Annually,Dubai,high
EVS00386,AC Level 2,0.41,6:00-22:00,14.02,32,ChargePoint,22,CCS,2015,Yes,4.3,10,Quarterly,Bangkok,low
EVS00557,DC Fast Charger,0.22,9:00-18:00,13.0,84,Ionity,350,"CCS, CHAdeMO",2015,Yes,3.5,3,Annually,Berlin,high
EVS00569,AC Level 2,0.11,9:00-18:00,9.63,57,EVgo,22,Tesla,2014,Yes,3.9,1,Annually,Seoul,high
EVS00622,AC Level 2,0.42,9:00-18:00,15.43,18,Tesla,50,"Tesla, CCS",2011,Yes,4.8,4,Monthly,São Paulo,low
EVS00949,DC Fast Charger,0.12,9:00-18:00,4.97,11,ChargePoint,150,Type 2,2011,Yes,4.0,8,Annually,Bangkok,low
EVS00955,AC Level 1,0.31,6:00-22:00,3.42,65,Tesla,150,"Type 2, Tesla",2021,Yes,3.7,7,Monthly,Toronto,high
EVS01146,DC Fast Charger,0.2,6:00-22:00,15.69,40,Ionity,350,CCS,2011,Yes,3.5,9,Monthly,Cape Town,low
EVS01206,AC Level 2,0.43,24/7,4.43,66,Tesla,22,"CHAdeMO, Tesla",2020,Yes,3.0,5,Annually,Sydney,high
EVS01529,AC Level 1,0.48,6:00-22:00,3.43,55,Ionity,150,"Type 2, CCS",2019,Yes,3.0,10,Annually,Sydney,high
EVS01788,AC Level 1,0.16,6:00-22:00,11.97,27,Tesla,150,CHAdeMO,2015,No,3.2,3,Annually,Berlin,low
EVS02125,AC Level 2,0.38,6:00-22:00,13.57,54,Tesla,22,CHAdeMO,2013,No,4.3,6,Quarterly,Cape Town,high
EVS02388,AC Level 2,0.48,24/7,5.24,57,ChargePoint,50,CCS,2012,Yes,3.7,4,Quarterly,Chicago,high
EVS02695,DC Fast Charger,0.12,9:00-18:00,11.39,86,EVgo,350,CCS,2015,Yes,3.4,9,Annually,Mexico City,high
EVS02810,DC Fast Charger,0.17,24/7,7.57,87,Ionity,350,"Type 2, Tesla",2017,No,4.1,8,Quarterly,Dubai,high
EVS02976,AC Level 2,0.24,6:00-22:00,18.35,34,EVgo,350,"Type 2, CHAdeMO",2020,Yes,4.3,9,Annually,Sydney,low
EVS03287,AC Level 1,0.37,9:00-18:00,12.56,36,ChargePoint,350,Tesla,2019,Yes,3.5,2,Monthly,Mexico City,low
EVS03343,AC Level 1,0.49,6:00-22:00,19.8,11,Ionity,350,Tesla,2020,Yes,3.4,4,Monthly,Mumbai,low
EVS03424,AC Level 2,0.39,24/7,13.28,68,EVgo,50,Type 2,2020,Yes,4.6,6,Annually,Toronto,high
EVS03875,AC Level 1,0.1,6:00-22:00,7.71,88,ChargePoint,150,CCS,2013,Yes,3.8,9,Quarterly,Los Angeles,high
EVS04132,DC Fast Charger,0.48,9:00-18:00,16.4,91,Ionity,22,Tesla,2010,No,4.8,5,Quarterly,Bangkok,high
EVS04214,AC Level 2,0.47,6:00-22:00,9.92,50,Ionity,22,CHAdeMO,2010,Yes,3.3,6,Quarterly,San Francisco,high
EVS04412,DC Fast Charger,0.23,9:00-18:00,12.66,54,Ionity,150,"Tesla, CHAdeMO",2022,No,3.6,6,Quarterly,São Paulo,high
EVS04959,AC Level 2,0.25,24/7,16.71,20,ChargePoint,50,Type 2,2023,No,3.8,6,Annually,Los Angeles,low
EVS00156,AC Level 2,0.45,24/7,9.78,23,Greenlots,350,"CHAdeMO, Tesla",2020,No,3.7,10,Quarterly,Dubai,low
EVS00342,DC Fast Charger,0.38,24/7,0.53,58,Tesla,150,CHAdeMO,2010,Yes,4.5,3,Monthly,Seoul,high
EVS00383,AC Level 2,0.32,24/7,18.25,79,EVgo,350,CCS,2013,Yes,4.7,2,Monthly,Toronto,high
EVS00726,AC Level 1,0.27,24/7,9.84,71,Ionity,50,"CCS, Type 2",2015,No,4.1,8,Quarterly,Moscow,high
EVS00963,AC Level 2,0.34,24/7,0.59,86,EVgo,150,Type 2,2019,Yes,3.6,6,Annually,Seoul,high
EVS01085,AC Level 1,0.37,24/7,3.64,25,ChargePoint,350,Tesla,2014,Yes,4.1,3,Monthly,Cape Town,low
EVS01472,AC Level 1,0.48,6:00-22:00,14.38,88,ChargePoint,22,"CCS, Type 2",2019,No,4.1,7,Quarterly,Mexico City,high
EVS01718,AC Level 2,0.27,9:00-18:00,7.59,68,Tesla,50,"Type 2, Tesla",2016,Yes,4.7,6,Quarterly,Chicago,high
EVS01733,AC Level 1,0.29,24/7,4.21,98,EVgo,350,CCS,2016,Yes,3.8,6,Quarterly,San Francisco,high
EVS01744,DC Fast Charger,0.32,24/7,2.68,77,Greenlots,22,Type 2,2015,No,3.7,9,Quarterly,San Francisco,high
EVS01943,AC Level 1,0.38,6:00-22:00,15.09,15,Tesla,150,CCS,2021,No,3.7,10,Annually,Bangkok,low
EVS02650,AC Level 1,0.39,9:00-18:00,9.7,46,EVgo,350,CHAdeMO,2016,Yes,3.7,1,Annually,Berlin,low
EVS02906,DC Fast Charger,0.28,24/7,8.9,72,ChargePoint,50,Tesla,2014,No,4.3,3,Quarterly,Berlin,high
EVS03114,DC Fast Charger,0.46,9:00-18:00,8.33,54,Ionity,22,"Type 2, Tesla",2010,No,4.4,10,Monthly,São Paulo,high
